element	sp_num	obs_wl_air(nm)	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	g_i	g_k	Type	
Cu	1	306.3411	1.55e+06	C+	13245.443	45879.32	4	4		
Au	1	312.278	1.90e+07	B+	9161.177	41174.613	6	4		
Ag	2	318.07128	4.30e+06	B+	82171.7320	113602.1364	7	9		
Ag	2	318.39060	4.0e+06	B	89134.7240	120533.6058	7	7		
Cu	1	319.4099	1.55e+06	C+	13245.443	44544.16	4	4		
Ag	2	322.32462	6.9e+06	D+	89895.5377	120911.2048	3	5		
Cu	1	324.7540	1.395e+08	AA	0.000	30783.697	2	4		
Ag	2	326.73462	8.7e+05	B	80176.4601	110773.5186	5	5		
Ag	2	326.955	2.0e+07	D+	90334.8716	120911.2048	3	5		
Cu	1	327.3957	1.376e+08	AA	0.000	30535.324	2	2		
Ag	1	328.0680	1.4e+08	B	0.000000	30472.66516	2	4		
Cu	2	329.04174	5.9e+07	D+	115568.99497	145951.5299	11	13		
Cu	2	330.08815	5.4e+07	D+	117747.3504	148033.574	7	9		
Cu	2	330.12286	5.6e+07	D+	115662.5622	145945.5969	9	11		
Au	1	330.830	3.1e+05	E	21435.191	51653.9	4	6		
Cu	2	331.62756	5.6e+07	D+	117883.0985	148028.7360	9	11		
Au	1	332.012	3.0e+07	C	37358.991	67469.4	2	4		
Cu	1	333.7845	3.8e+05	C+	11202.618	41153.47	6	8		
Cu	2	333.86475	2.7e+07	D+	116080.2237	146023.862	7	9		
Ag	2	333.9878	2.10e+05	B+	83669.6491	113602.1364	9	9		
Cu	2	336.56475	2.9e+07	D+	116325.9148	146029.350	7	9		
Cu	2	337.04529	4.3e+07	D+	116371.18040	146032.2635	9	11		
Ag	2	337.21945	1.00e+06	B	90887.8423	120533.6058	5	7		
Cu	2	337.49515	4.6e+07	D+	118483.8135	148105.366	7	9		
Cu	2	338.07117	3.4e+07	D+	118531.9058	148102.986	5	7		
Ag	1	338.2887	1.3e+08	B	0.000000	29552.05741	2	2		
Ag	2	349.52849	7.4e+05	C+	82171.7320	110773.5186	7	5		
Ag	2	368.24638	9.0e+04	B	83625.5147	110773.5186	3	5		
Ag	2	368.33479	9.9e+05	B+	86460.6511	113602.1364	7	9		
Cu	2	368.65552	9.7e+05	C+	68447.7349	95565.619	7	9		
Au	1	379.601	3.2e+07	C	41174.613	67510.7	4	6		
Cu	2	388.41312	3.1e+07	D+	120684.7128	146423.201	7	9		
Cu	2	388.45339	3.1e+07	D+	122745.9491	148481.763	5	7		
Cu	2	390.31761	3.5e+07	D+	120789.80865	146402.715	9	11		
Au	1	390.938	1.1e+05	E	21435.191	47007.433	4	4		
Cu	2	392.06546	3.3e+07	D+	123016.8175	148515.532	7	9		
Cu	1	402.2629	1.90e+07	C	30535.324	55387.667	2	4		
Cu	2	404.34879	1.14e+06	C+	70841.4669	95565.619	7	9		
Cu	1	406.2641	2.10e+07	C	30783.697	55391.297	4	6		
Au	1	406.507	8.5e+07	B+	37358.991	61951.6	2	4		
Ag	2	408.59155	1.12e+06	B+	89134.7240	113602.1364	7	9		
Ag	2	411.18880	1.20e+05	B	86460.6511	110773.5186	7	5		
Ag	2	418.54749	3.7e+05	C	86888.0990	110773.5186	5	5		
Cu	2	422.79422	5.1e+05	B	71920.0961	95565.619	7	9		
Cu	1	424.8956	1.95e+07	C+	40943.78	64472.35	2	2		
Cu	1	427.5107	3.45e+07	C+	39018.69	62403.332	6	8		
Ag	2	431.351	1.4e+07	D+	136518.895	159695.21	5	3		
Ag	2	431.959	1.2e+07	D+	132017.588	155161.42	7	5		
Ag	2	433.314	3.3e+06	D+	132017.588	155088.95	7	7		
Ag	2	436.416	6.6e+06	D+	136832.527	159740.36	3	5		
Ag	2	441.200	1.4e+07	D+	132429.668	155088.95	9	7		
Ag	2	443.057	1.4e+07	D+	137176.52	159740.36	7	5		
Ag	2	444.919	1.0e+07	D+	137225.409	159695.21	3	3		
Ag	2	447.912	6.4e+06	D+	132841.701	155161.42	3	5		
Cu	1	448.0350	3.0e+06	C	30535.324	52848.751	2	2		
Ag	2	448.858	6.8e+06	D+	137468.255	159740.36	5	5		
Ag	2	449.494	1.1e+07	D+	132920.339	155161.42	5	5		
Cu	2	450.59982	6.3e+05	C	66418.6849	88605.096	5	3		
Cu	1	450.9374	2.75e+07	C+	42302.58	64472.35	4	2		
Ag	2	451.552	4.1e+06	D+	133022.073	155161.42	7	5		
Ag	2	453.039	7.4e+06	D+	133022.073	155088.95	7	7		
Cu	1	453.0785	8.4e+06	C+	30783.697	52848.751	4	2		
Cu	1	453.9695	2.12e+07	C+	41562.93	63584.65	6	4		
Cu	2	455.59211	7.1e+05	C	66418.6849	88362.001	5	5		
Cu	1	458.697	3.20e+07	C+	41153.47	62948.26	8	6		
Ag	2	462.00358	2.1e+05	C	89134.7240	110773.5186	7	5		
Cu	1	465.1124	3.80e+07	C+	40909.16	62403.332	10	8		
Cu	2	467.17016	5.6e+07	D+	114511.2386	135910.7245	3	5		
Cu	2	467.35772	1.6e+08	D+	114511.2386	135902.1365	3	1		
Cu	2	468.19938	1.1e+08	D+	114511.2386	135863.6857	3	3		
Cu	1	470.4594	5.5e+06	C+	41153.47	62403.332	8	8		
Cu	2	475.84334	1.3e+06	C	67916.5572	88926.002	3	1		
Ag	2	478.83966	9.5e+05	C+	89895.5377	110773.5186	3	5		
Au	1	479.258	8.9e+07	B+	41174.613	62033.7	4	6		
Au	1	481.160	1.57e+07	B+	41174.613	61951.6	4	4		
Cu	2	481.29476	1.3e+08	D+	117231.4014	138002.8856	3	5		
Cu	2	483.22454	2.5e+05	C	67916.5572	88605.096	3	3		
Cu	2	485.12625	2.9e+07	D+	115662.5622	136269.9996	9	9		
Cu	2	485.498733	3.5e+07	D+	115568.99497	136160.61825	11	11		
Cu	2	487.33056	2.4e+07	D+	117747.3504	138261.5822	7	7		
Cu	2	488.97005	1.9e+05	C	67916.5572	88362.001	3	5		
Ag	2	489.1335	1.00e+05	B	90334.8716	110773.5186	3	5		
Cu	2	490.142635	6.2e+07	D+	115638.8036	136035.3328	5	7		
Cu	2	490.65663	4.4e+07	D+	115638.8036	136013.9671	5	5		
Cu	2	490.973351	2.04e+08	B+	115568.99497	135931.01412	11	13		
Cu	2	491.291989	6.0e+07	D+	115665.1539	136013.9671	3	5		
Cu	2	491.58321	2.5e+07	D+	117883.0985	138219.8605	9	9		
Cu	2	491.83779	2.9e+08	C	117747.3504	138073.5826	7	9		
Cu	2	492.64228	9.e+07	D+	115665.1539	135958.1919	3	3		
Cu	2	493.155496	7.1e+07	D+	115638.8036	135910.7245	5	5		
Cu	2	493.16982	1.9e+08	C	115662.5622	135933.89499	9	11		
Cu	2	493.722029	1.1e+08	D+	117928.2197	138176.8797	3	5		
Cu	2	493.79740	2.8e+07	D+	115665.1539	135910.7245	3	5		
Cu	2	494.30240	4.0e+07	D+	115638.8036	135863.6857	5	3		
Cu	2	495.37244	3.1e+08	C	117883.0985	138064.2971	9	11		
Cu	2	496.98062	1.1e+07	D+	116325.9148	136441.817	7	7		
Cu	2	497.36975	3.6e+07	D+	117928.2197	138028.384	3	3		
Cu	2	497.41542	3.0e+07	D+	118163.2663	138261.5822	5	7		
Cu	2	498.51421	2.1e+07	D+	116387.7873	136441.817	5	7		
Cu	2	498.550499	9.7e+07	C+	116080.2237	136132.77781	7	9		
Cu	2	498.8327	5.7e+06	D+	136725.85349	156767.066	11	13		
Cu	2	500.679983	1.20e+08	C+	118163.2663	138130.5345	5	7		
Cu	2	500.98505	5.4e+07	D+	116080.2237	136035.3328	7	7		
Cu	2	501.26197	9.6e+07	C+	116325.9148	136269.9996	7	9		
Cu	2	502.12785	3.2e+07	E	116080.2237	135989.9176	7	7		
Ag	2	502.73430	3.4e+05	C+	90887.8423	110773.5186	5	5		
Cu	2	503.90109	3.9e+07	D+	118163.2663	138002.8856	5	5		
Cu	2	504.13310	1.6e+07	D+	116080.2237	135910.7245	7	5		
Cu	2	505.179210	1.55e+08	C+	116371.18040	136160.61825	9	11		
Cu	2	505.890906	4.8e+07	D+	116371.18040	136132.77781	9	9		
Cu	2	506.06437	4.1e+05	C	68850.2628	88605.096	1	3		
Au	1	506.459	5.2e+05	D	21435.191	41174.613	4	4		
Cu	2	506.545858	1.61e+08	C+	118483.8135	138219.8605	7	9		
Cu	2	506.709416	1.23e+08	C+	118531.9058	138261.5822	5	7		
Cu	2	508.84882	4.8e+07	D+	118483.8135	138130.5345	7	7		
