obs_wl_air(nm)	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	g_i	g_k	Type	
346.107	6.7e+04	D	93750.5978	122635.054	3	5		
355.4306	2.7e+05	D	93143.7600	121270.617	5	5		
360.6522	7.6e+05	D	93750.5978	121470.238	3	1		
377.0369	7.0e+04	D	94553.6652	121068.736	1	3		
383.4679	7.5e+05	D	95399.8276	121470.238	3	1		
394.7505	5.6e+04	C+	93143.7600	118469.0508	5	5		
394.8979	4.6e+05	B	93143.7600	118459.5975	5	3		
404.4418	3.3e+05	B	93750.5978	118469.0508	3	5		
415.8590	1.40e+06	B	93143.7600	117183.5901	5	5		
416.4180	2.9e+05	B	93143.7600	117151.3264	5	3		
418.1884	5.6e+05	B	94553.6652	118459.5975	1	3		
419.0713	2.80e+05	B	93143.7600	116999.3259	5	5		
419.1029	5.4e+05	C+	94553.6652	118407.4303	1	3		
419.8317	2.57e+06	B	93750.5978	117562.9553	3	1		
420.0674	9.7e+05	B+	93143.7600	116942.7542	5	7		
425.1185	1.11e+05	C+	93143.7600	116659.9934	5	3		
425.9362	3.98e+06	B+	95399.8276	118870.9170	3	1		
426.6286	3.1e+05	C+	93750.5978	117183.5901	3	5		
427.2169	8.0e+05	B	93750.5978	117151.3264	3	3		
430.0101	3.77e+05	B+	93750.5978	116999.3259	3	5		
433.3561	5.7e+05	B+	95399.8276	118469.0508	3	5		
433.5338	3.9e+05	C+	95399.8276	118459.5975	3	3		
434.5168	3.0e+05	B	95399.8276	118407.4303	3	3		
451.0733	1.18e+06	B+	95399.8276	117562.9553	3	1		
452.2323	9.0e+04	B	94553.6652	116659.9934	1	3		
459.6097	9.5e+04	B	95399.8276	117151.3264	3	3		
462.8441	3.83e+04	B+	95399.8276	116999.3259	3	5		
470.2316	1.09e+05	B	95399.8276	116659.9934	3	3		
515.1391	2.39e+06	C	104102.0990	123508.927	3	1		
516.2285	1.90e+06	C	104102.0990	123467.9733	3	3		
518.7746	1.38e+06	C	104102.0990	123372.9253	3	5		
522.1271	8.8e+05	D	105462.7596	124609.856	7	9		
542.1352	6.0e+05	D	105462.7596	123903.220	7	5		
545.1652	4.7e+05	D+	104102.0990	122440.0672	3	5		
549.5874	1.69e+06	C	105462.7596	123653.177	7	9		
550.6113	3.6e+05	D+	105617.2700	123773.8614	5	7		
