obs_wl_air(nm)	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	g_i	g_k	Type	
312.278	1.90e+07	B+	9161.177	41174.613	6	4		
330.830	3.1e+05	E	21435.191	51653.9	4	6		
332.012	3.0e+07	C	37358.991	67469.4	2	4		
379.601	3.2e+07	C	41174.613	67510.7	4	6		
390.938	1.1e+05	E	21435.191	47007.433	4	4		
406.507	8.5e+07	B+	37358.991	61951.6	2	4		
479.258	8.9e+07	B+	41174.613	62033.7	4	6		
481.160	1.57e+07	B+	41174.613	61951.6	4	4		
506.459	5.2e+05	D	21435.191	41174.613	4	4		
583.737	2.95e+07	B+	37358.991	54485.235	2	2		
627.817	3.4e+06	D	21435.191	37358.991	4	2		
751.073	4.24e+07	B+	41174.613	54485.235	4	2		
